Verbatim,sentiment
Internet hızı çok yavaş,negative
Mersin Silifke Keben köyünde internet hiç çekmiyor  Köye gittim zaman giremiyom ilgilenirseniz sevinirim tesekkurler,negative
Son dönemlerde internet çekim hızında yavaşlama var,negative
Balıkesir Altıeylül Ataköyde çekmiyor köy olarak şikayetçiyiz  Savaştepe Çavlı köyündede çekmiyor şikayetçiyiz,negative
Köyde çekmiyor bazı durumlarda çekmiyor,negative
Nevsehir merkeze bagli uchisar kasabasinda vodafone sebeke ve interneti cogu yerde çekmiyor ilgilenirseniz cok seviniriz,negative
Evimin içinde çekmeyen şebekeyi ne yapayim ki yıl olmuş 2020 hala aynı sorunlar not evim 1 kat öyle bodrum kat falan değil,negative
Baz istasyonlarinizi cogaltin Tekirdağ da internete giremiyoruz bu nedir ya,negative
İnternet hızının biraz daha hızlanması lazım Çekim sıfır,negative
Görüşme esnasında sürekli hat kesiliyor,negative
4 G de bile video donuyor,negative
Çekim gücü sıkıntı çoğu yerde 2g var bunların düzeltilmesi lazım,negative
Baz istasyonlarinin sayisini artirabilirsiniz son 1 ay icinde 2 kere yer değistirdim iki yerde de internetim kesinlikle çekmiyor,negative
beş para etmezsiniz kaliteli reklamlar yapiyorsunuz yok daglık bölgede cekiyor yok denizdede ceker hep ayak yapiyorsunuz en kisa süredede numarami Turkcelle tasiyacagim memnun degilim,negative
Daha fazla baz istasyonları kurulmalı,neutral
Köylerde bütün şebekeler internete girebiliyorken vodafonelu olan bizler giremiyoruz  kargı köyü taşdibi mahallesi bucak burdur kontrol edebilirsiniz  Sırf bu yüzden çok sevdigim yıllardır kullandıgım şebekemi degiştirmek zorunda kalıcam,negative
Faturali sabit hat ucretleriniz con yuksek musteri hizmetlerinde bazi arkadaslar cok ukala,negative
Bulunduğum bazı bölgelerde hiç çeköiyor ayrıca 1080p video izlemek istediğim zaman sürekli donma gerçekleşiyor,negative
Paketim bitince ek paket alıyor uyarı yapılmadan ek paket istemiyorum,negative
Baz istasyonu arttırma veya güçlendirme bölge SAMSUN BAFRA Şirinköy,neutral
Verici sayısını artırın Laf olsun diye anket yapmayin bu sekilde harcadiginiz parayi yatirima ayirin,neutral
İnternet hızının geliştirilmesi,neutral
Hic bir sekilde memnun degilim mobil hattim hic bir yerde çekmiyor tahahut surem biter bitmez tasimis oldugum 4 hattimi farkli bir operatire gecisini saglayacagim ayni sejilde evde internet hattimida,negative
İnternet çok yavaş video açmıyor donuyor vodafone yanımda ya bile girilmiyir vs 2 dış çekiyor izmit bayındırlık,negative
İnternet hızı çok yavaş ve her yerde çekmiyor,negative
Video izlerken veyabirşey indirirken hızımız biraz daha yüksek olsa süper olur,neutral
Lütfen ağ kalitenizi arttırın hiçbir yerde çekmiyor Turkcell e geçicem,negative
Mobil veri hızı çok yavaş iyileştirilmesini isterim,negative
Kırşehir aşıkpasa mah bile çekmiyor türkiye nin göbeği nasil menmun olabilirim senem dolunca tekrar Türk Telekomye gececegim,negative
Çoğu yerde çekmiyor İnternet çekme hızı çok yavaş,negative
Tokat zile temecük köyünde internet hiç yok denecek kadar kötü memlekete gidince internet konusunda çok sıkıntı yaşanıyor,negative
Trabzon vakfıkebir kirazlık köyü mısırlı köyü deregözü köyü mevkiiinde şebeke çekmiyor ilgilenilmesinin rica ederim,negative
bulunmuş olduğum lokasyon da telefon gorume bile yapamıyorum internet biraki 4 5 G devamlı H de Müşteri hizmetleri olsun her şeyi ile başı boş bir GSM şirketi Tahutum dolduktan sonradirek Turkcelle Not Gün içinde bulunmuş olduğum lokasyondaki çekim gücünü kontrol edebilir siniz,negative
Kapali alanlarda sorun oluyor internet cekme hizi yavas ve konusmalarda sıkınti oluyor,negative
Yaylalarda çekmiyor heryerde çekiyor deniliyor ama,negative
Benim için sorun değil artık 10 yıllık faturalı hat kullanıcısıyım ama bu sene başka bir oparetöre geçiş yapacağım,negative
Fatura fiyatlarının kabarık olması biraz sıkıntıya sokuyor,negative
İnternet hızı çok kötü,negative
Bir an önce bulunduğumuz bölgeye baz istasyonu kurulmasını rica ediyorum,neutral
Oyun oynarken kesiliyor video seyrederken donuyo konuşurken kesiliyor,negative
İnternet hızınız rezalet durumda taahhütüm bittiği an hattımı başka yere taşıyacağım,negative
Hızlansın internet kullanımı çok yavaş yetersiz çekmiyor memnun değilim,negative
Cekim gucu az hatta evin icinde odadan odaya cekmedigi ve internete giremedigim oluyor,negative
Son zamanlarda şebeke sorunu var çekim gücü zayıf,negative
İnternet hızım çok kötü arada giremiyorum bile internet çekimi ve hızını gözden geçirmenizi diliyorum,negative
Diger hatlara göre çok kötü Telefon taksidi bitince hemem geciş yapicam,negative
Maaleaef burada şebeke gücü çok düşük bu yüzden türktelekoma geçeceğim,negative
Görüşme esnasında hat kesilmesi yaşanabiliyor,negative
Mümkünse baz istasyonu sayınızı arttırıp çanakkale bölgesindeki çekim gücünüzü lütfen güçlendirin iyi calismalar,neutral
İnternetim hiç çekmıyor arama yaparkende telefon suratıma kapanıyor hiç memnun kalmadımmm bu hattan en koşa sürede kurtulucammm vodafone den,negative
Özellikle İnternet hiç çekmiyor baz istasyonu sorunu var genel olarak istasyon sayısı artırılmalı,negative
Çekim gücü çok sayif birçok yerde çekmiyor  düzenli tl yüklememe rağmen hiç internet hediyesi vermiyo,negative
Fatura çok geliyor bu hizmete bu bile çok şebekenizi güclendirin,negative
Bazi bolgelerde cekmedigi icin Turkcelle gecmeyi planliyorum,negative
Artvin Şavşat eskikale ve çifte hanlar mevkiisinde çekmiyor çeken yerde de düşük çekiyor Artvin merkezde de videolar izlerken donuyor,negative
Mobil internet hızından memnun değilim insanı deli ediyor,negative
Ben esenyurt zafer mahallesinde oturuyorum yıllardır aynı şebeke yok bizi arayan ulaşamıyor hic birseyi kullanamıyorum bir dışarı çıkarken iş yerinde kullanıyorum sanki dağ başındayız bu konu zaten çözülmez ise tahatüm bitince hattı mi Turkcell çekiyor ona taşıyacağım Telefonum 05452708959,negative
Alt yapı güçlendirilmesi lazım özellikle önce bitecek kullanımların daha önce datadan yemesi bakımından,neutral
Şebekede devamlı kopma oluyor internet hızı çok düşük,negative
İç mekanlarda zorluk çekiyorum internet bazen çok yavaşlıyor videoyu sürekli duraklatıyor,negative
İnternet verilerini ve hızını hiç beğenmiyorum bu sebeple bunun düzeltme olması gerek artı arama verisi,negative
Özellikle video izlerken ve YouTube izlerken çok kasabiliyor  Çalışmanız için teşekkür ederim,neutral
Türk telekoma geçeceğim cayma bedelinin süresini bekliyorum,negative
Son zamanlarda vodafone hiçbir yerde cekmemekte ve telefonla konuşurken pat dye kapanmaktadır değiştirmeyi düşünüyorum,negative
Telefonlar çekmiyor  sürekli kesiliyor ve kendi kendine kapanıyor  Konuşmanın en önemli yerinde telefon kesiliyor  Çok sinir bozucusunuz,negative
En kısa zamanda turkcelle gececegim çekim ist orman içinde çekmiyor sahilde çekmiyor birde En ufak fatura gecikmesi yüzünden musteri hizmetleri günde 59 defa ariyor bir an önce iptal ettirecegim,negative
Kesinlikle hiziniz cok dusuk,negative
Daha çok baz istasyonu vodafone birçok yerde çekmiyor ve zor duruma koyuyor,negative
Kullanicilara anket yaparak nerede nasil cektigini gorebilirsiniz ve lutfen cekeim kalitesini yukseltin biz vodafoneden memnunuz ama cekim cok kotu hatta en kotu olan oparator bu,negative
Faturalarımda indirim istiyorum yada telefon kanpanyası istiyorum,neutral
Az bir kırsal görse hemen şebeke gidiyor  Biz ki kırsalda yaşayan kişileriz kırsal alanlara baz istasyonun ya da daha güçlü şebeke ağı iyileştirilmesi yapılması gerekir   Nevşehir  Bölükören Köyü,negative
Intarnett hızı çok yavaş düzeltilmesini istiyorum,negative
Malesef ki çekmiyor  Konuşurken dıt diyip birden kapanıyor karşı tarafta aynı operatör olmasına rağmen,negative
selamınaleyküm öncellikle ama vodafone guzel ama nedense internet paketleri çok pahalı ve yanımda uygulamasında internet fazla cıkmıyor ve bu yüzden çevremdekilere tavsiye edebilirmiyim bilmiyorum ama internet ve fiyatları düşürülür ve internet fazla cıkarsa tabiki tavsiye ederim yanımda uygulamasında internet az cikıyo ve bu yüzden hatı başka operatöre geçmeyi düşünüyorum teşekkürler,negative
Her 2 aramadan biri kesiliyor herkes telefonun çekmediğini söylüyor tek aramada kimse bana ulaşamıyor,negative
Ankaranın göbeğinde ilçelerinde çekmiyor bir anda hat düşüyor ben böyle kalitesiz bir çekim gücü görmedim hattımı da taşıyacağım,negative
Baz istasyonlarının sayısı artırılıp kapsama kalitesi genişletilebilir,neutral
Şehirlerde yeni yapılaşmanın olduğu bölgelere baz istasyonu kurulumu yapılmalı,neutral
Ne telefonla konuşabiliyorum konuşurken birden  kapaniyor  ne de interde dolasabiliyorum,negative
Manisa nın Sarıgöl ilçesinin 30 köyü var muhtemelen 20 sinde doğru düzgün çekmez  Sadece konuşmaya yeter internet zor  30 bin nüfustan bahsediyoruz,negative
Şebeke çok az çekiyor ve İnternet ağırlaşıyor çoğu yerde arama yaptığında hat kesiliyor,negative
Köye gidiyorum çekmiyor,negative
bence sorunların çözmelisiniz baz istasyonlari guclendirmelisiniz evde internetimiz var sözde fibernet ama surekli kopuyor sizi kullanıp memnun olmayan binlerce kişi var evin icinde çekmiyor diye eve vodafone internet baglattik onada wifiden dogru durust baglanamiyoruz surekli kopuyor bu zamanda ben esim ve ev internetiyle beraber 250 lira vodafonea aylik para harciyoruz ama artik sabrimiz tasmaya basladi,negative
Şebeke sıkıntısı var köyde çekmiyor,negative
Konuşurken karşıtarafla olan görüşmelerimde sürekli sesin kesilmesi ve hattın kopması durumunun düzeltilmeli ve her yerde çekim kalitesi yüksek olmalı,negative
Internetin hızını biraz daha yükseltilmesi,neutral
Abi aramada sıkıntılar var şebeke az çekiyor tuvalette çok az çekiyor 4 5g yim normalde E çekiyor bide İnternete video izlerken 750 pixelde izliyorum çok kasma oluyor,negative
Videolarda sebepsiz anlık donmalar ve kesilmeler oluyor  Aynı ortamda bulunan diğer operatörler rahatça konuşup İnternete girerken ben internette sayfa açılması bekliyorum  Çekim gücünüzü düzeltiniz,negative
Paketleriniz çok pahalı ve istediğim paketler yok numaram 5536346416,negative
Çekim çok sıkıntı çekmiyor,negative
Çekim artırılmalı bunun için verici sayısı yetersiz artırılmalı memnun değilim,negative
cok kesinti oluyor çok mağdur oluyorum başka gsm operatörüne geçmeyi düşünüyorum,negative
İnternet hızı diğer sağlayıcıya oranla çok düşük,negative
Verici sayısı arttırılabilir,neutral
Geçen yıl kampanyalı tarifenize geçtim bin pişman oldum Defalarca müşteri hizmetleri ile konuştum iyileşme olmadı tarifemin bitişi ile Turkcell e geçicem,negative
Şebeke seviyesi düşük antene yakın olmama rağmen hala çekmiyor,negative
4 5 biraz yavaş biraz hızlansa hiç fena olmaz,neutral
Köylerde internet çekimi yok gibi   Lütfen biraz daha güçlü olsa   Yuotube de video izlerken duraklama oluyor başka internet sitesi instgramda aynı sıkıntı oluyor,negative
Bulunduğumuz konum itibariyle şebeke sıkıntısı var Kuracağınız yeni istasyonlarla hem şebekeyi iyi yaparsınız hem de çok daha fazla müşteri kazanırsınız müşterinin baktığı en önemli unsur şebekenin iyi olması inşallah diyarbakır çınar başaklı mahlesine iyileştirme yaparsınız bekliyoruz,neutral
Şebeke internet berbat son 1 buçuk yıl dır çok kötü ve hiç memnun değilim 15 yıllık fodafonluyum ama bu sene artık başka operatörlere geçecem ve ailemde herkes başka operatörlere geçecek sanırım yani bu gidişle vodafone kaybediyor hepimizi,negative
Ben çok sık doğaya giden birisiyim  Kamplar  geziler kısacası kırsal bölgedeyim  vodafone a büyük umutlarla geldim ama maalesef kırsal alan kapsamasında tek bir operatör var ve bu vodafone değil,negative
Bulunduğumuz yere baz istasyonu kurulması,neutral
vodafone TV yi izlerken sürekli donuyor konuşurken ses kesiliyiyor,negative
Cekm gucu duşuk hçde memmun degilim vodafonedan svmiyorumda cikmak istedm kabul gormedi tavut name bitnce hemn cikacam,negative
Alt yapinizi guclendirip kapali mekanlarda cekim gucunuzu arttirabilirsiniz,neutral
Baz istasyonlarına önem verilebilir Bulunduğum bölgedeki istasyon devamlı arızalanıyor,neutral
Çayırova  Kocaeli de oturuyorum telfonum çekmiyor yaa elektirik gidince hiç çekmiyor rezalet kapsama alanı kötü yada türk telekomla  daha iyi bir alt yapı yapılabilir,negative
Evimde telefon çekmiyor ve bunu bildirmek için asla size ulaşamıyorum Bu sebeple bu ay başka bir operatöre geçeceğim,negative
Çok şükür taahhüt bitti ilk işim Turkcell e geçmek olacak çekimi kötü arama kalitesi kötü pişman oldum vodafone geçtiğime,negative
vodafone yanımda uygulamasına sınırlama konulmalı yoksa avantajlı aşım paketi almaktan 50 TL lik fatura 128 TL geliyor Teşekkürler,neutral
Samsun terme ambartepe  bulgurlu köyü orta mahallede vodafone hiçbir şekilde çekmemektedir verici takılmasını köy halkı olarak ısrarla istiyoruz,negative
Vidio izlerken donma oluyor,negative
Şebeke sorunu çözmek için kesinlikle fazla baz istasyonunu artırmanız gerekiyor Yoksa çok müşteri kaybedersiniz,negative
Baz istasyonlarinizi arttirin,neutral
Konuşma esnasında sürekli kesiliyor  Hiç beğenmiyorum,negative
Heryerde çekmiyor cekim gucunuzu artirin lutfen cekmeyen yerde internetimi bile kullanamiyorum,negative
Özellikle kırsal kesimlerde  köy ve mezralarda çekim gücünü artırırsanız daha iyi olur   Birde yeni geçiş yapan abonelere yaptığınız kampanyaları uzun süre  sizlerle olan abonelerinize de uygulasanız  daha iyi olur,neutral
vodafoneda ic mekanda internet hizi ciddi anlanma dusuyor Bazi bolgelerde 240mbps hiza erisirken bazi bolgelerde 4 5mbps hizlara dusuyor Bu sebepten ne olumlu nede olumsuz yorum yapamiyorum stabil bir operator degil vodafone da 4G nin cekmedigi cok nadir yer gordum ama 4g nin cekmesinin her zaman avantajini goremiyorum bazen rakip operatorlerin 3g hizlari vodafone 4g hizini gecebiliyor,negative
vodafone ye Faturasiz hatlara güzel her bütçeye uygun sınırsız internet vb Paletler yüklensin,neutral
Şebeke berbat özelikle bayramdan sonra Sözleşmem bitsin üzerime olan bütün hatları Turkcell yada türktelekoma taşıyacağım benin gibi düşünen çok var çevremde,negative
Çekim gücünüz çok zayıf Internet fena değil bu yüzden tahadutum biter bitmez başka oparotere geçeceğim,negative
Yani çekim gücü hiç hoş değil hem benim benim anlaşma yaptığım fatura tutarindan fazla miktar geliyor bu konuda hiç memnun değilim,negative
Merhaba öncelikle iyi çalışmalar dilerim tavsiyem şu mesela trabzon yomra yenice köyü eskiden internet çekiyordu şuan eskisi gibi çekmiyor var olan kalite gitti ileri gitmemiz gerekirken gerilemek hoş değil iyi günler dilerim,negative
Baz istasyonlarının arttırılması gerekiyor İstanbul Kartal Soğanlık yeni mahalle cahit Külebi sokak da bulunan evimde telefon çekmiyor,negative
Baz istasyonları arttırılabilir Konuya hakim olmadığım için tavsiye veremeyeceğim Iyi çalışmalar,neutral
Alt yapınızın sağlam olmadığı yerde lütfen satış yapmayınız Modem yanımda internet hızı çok düşük müşteri no 10788632,negative
Telefonum hiç biryerde çekmiyor internetim çok geç açılıyon konuşurken sürekli kapanmalar oluyo,negative
Baz istasyonu felan kurun bu civara internet rezil çekmiyor,negative
Çoğu yerde çekmiyor taahhüt bitince ilk işim Turkcell e geçmek olacak emin olun,negative
baz istasyonlarına bakım ve onarımı yapılabilir 4G yüklemesi yeni baz istasyonları,neutral
İnternet tarifeleriniz fiyatları biraz yuksek biraz uygun olsa daha iyi olur,negative
Daha fazla baz istasyonu kurulmalı,neutral
Memleketim olan Erbaa Kozlu köyüne ne zaman gitsem telefonum hiç çekmez merkeze 16 km uzak olmamıza rağmen acil destek istiyorum,negative
Şebeke her zaman çok kaliteli değil  1 dakikalık bir video izlerken bile donuyor  internet kalitesi çok düştü,negative
çekmiyor Baz istasyonlarını arttırın Bazı yerlerde hiç çekmiyor Yani arama yapılmıyor Yıllardır böyle artık düzeltin Baz istasyonu olmayan yere baz istasyonu dikin İnternet çok yavaş hat bazen şehir merkezinde evin içinde çekmiyor Evin içinde çekmiyor hat,negative
Bazı yerlerde çekim gücü az örneğin ben torbali ayrancilarda izmir yani çekim şebeke az oluyor,negative
Telefonum çekmiyor malesef taahhüt dolunca Turkcell düşünüyorum,negative
Merkezlerden uzak yerlerde mezralarda bazen de köylerde şebeke sorunları var çözüm bekliyoruz,negative
Şehir içi bazı noktalar da 3G bile az çekiyor vodafone TV bazen saçmalıyor Ayrıca tarife ve paketler de internet limiti yükseltilmeli Örbek 20 25 GB a çıkarılmalı Teşekkürler,negative
Şebeke gücü çok zayıf  Videolar çok donuyor sim kart güncellemesi ve cihaz güncellemelirimi yaptığım halde düzelmedi başka cihazda denesemde sonuç aynı oldu  bitiksiniz,negative
Daha iyi bir şekilde olması için vericilerinizi arttırabilirsiniz,neutral
İnsanları tuzağa düşüren berbat bir operatör Faturalı ya geçiş yaptırıp her ay kat be kat ödeme yaptırdınız haram zıkkım olsun,negative
Iyisiniz daha iyi olabilirsiniz bazen konuşma esnasında telefon aniden kesiliyor,negative
Cekim gücü cok düşük ve interneti her yerde çekmiyor,negative
Ben şuan Aksaray ili gülağaç ilçesinin bekarlar köyündeyim ve burda vodafone un çekim güçü hiç güzel değil sizden ricam eğer yapılabiliniyorsa verici ve alt yapı uygulaması yapılmasını rica ediyorum,negative
Ordu ili Gölköy ilçesinde ve çevresinde doğru dürüst çekmemektedir vodafone taşıdığım numaramı mecburi olarak turkcell e taşımak zorunda kaldım,negative
Tarıfe ucretii cok pahalı ve sozleşme bitimi hatımı kopatıracam tarıfe yuzune,negative
Ankara Akyurt ilçesinde oturmaktayım ne hat adam akıllı çekiyor ne de internet hattı başka bir operatöre geçirmeyi bile düşünüyorum,negative
Alt katta oturuyorum yillardir duzelir diye bekluyoruz ama bir duzelme gözlémleyemiyorum telefonla konusmak icin camlarin onune cikiyoruz,negative
Daha iyi çekmeli telefon görüşmelerinde aniden hat kesiliyor,negative
Her yerde çektiğini söyleyemem baz istasyonlarının artırılması gerekiyor teşekkürler,neutral
Köylerde telefon hiç çekmiyor Allah rızası için köylere de el atın ordakilerde insan lütfen Samsun Çarşamba mahmutlu mahallesi,negative
bulunduğum bölgede birçoğu bölgede vodafone çekmiyor  gerekli iyileştirme yapılırsa iyi olur  Türktelekom dahi daha çok çekiyor   tüm arkadaşlarım Türktelekoma geçti  böyle giderse bende geçiş yapıcam,negative
Sadece vodafone şebeke si çok kötü Turkcell vodafone dan daha iyi çekiyor arıza giderilmezse hat değiştirme işlemi ni yapacaz arz ederim,negative
Telefon merkezi bir yerde çekmiyor daha iyi daha donanımlı baz istasyonları kurulabilir,negative
Baz istasyonu sayınızı artırımı yapılması gerekiyor yani yatırım,neutral
Eyüp topçular baz istasyonu sebebiyle sürekli   konuşmalarda kopma oluyor kontrol edilebilir,negative
4G olduğum ve şehir merkezinde yaşadığım halde internet hızım aşırı yavaş Çoğu zaman video izlerken takılıp kalıyor aramalarım kesiliyor,negative
Bazı bölgelerde baz istasyonu eksikliği nedeniyle çekim kalitesi düşük bundan dolayı şikayet ve ardından operatör değişikliği söz konusu olabiliyor Kiralamacı arkadaşlar buralarda uygun bir yerle anlaşarak istasyon kurulursa sıkıntı çözülür iyi çalışmalar,negative
Şebeke problemi var  sürekli kopma yaşanıyor ve her yer de çekmiyor,negative
Türkse le göre daha ucuz paketleri ama şehir merkezinde evimde çekmiyor işim gereği Türkiye yi geziyorum şebeke notum 0 sözleşme bitince numaramı taşıyacagım,negative
Aynı evin içinde oda değiştirdiğim de şebeke çekmiyor İstanbul gibi bir yerde hemde,negative
İnternet hızı bazen çok düşük,negative
Adıyaman merkezde bazı mahallelerinde hiç çekmiyor Baz istasyonu eksikliği var sanki Bu konuda kendisini geliştirirse daha iyi sonuçlar elde edebilir,negative
Kullandığım fatura 100 tl dışardan yeni gelenlere aynı faturayı 80 liraya sunuyorsunuz müşteri kapmak için ama elinizdekini kaybedeceksiniz haberiniz yok,negative
Hiç beğenmiyorum şebekenizi yıllardır kullanıyorum taahhüt bitmesini bekliyorum ne şebekeniz ne internetiniz çekiyor hemde köyde bile çekmiyor diğer mobil ağlara göre oldukça zayıf numaramı başka operatöre taşıyacağım,negative
Fatura tarifeleri çok yüksek fiyatta onların fiaylari dussun,negative
İnternet çok pahalı Biraz daha makul fiyat aralığı olabilir Kullandığımız paketlerde artık SMS yerine daha fazla internet hakkı tanımlanabilir,negative
Kesinti cok oluyor mobil internette çok agir,negative
Son zamanlarda Konuşma esnasında hat kesiliyor  Zor durumda kalıyoruz  İnternette çalışmıyor  Sürekli donuyor,negative
Alt yapı güçlendirmesi,neutral
Hiçbir yerde çekmiyor internet hızı rezalet taahhütüm biter bitmez bir daha bu operatöre geçmemek üzere ayrılacağım,negative
Baz istasyonu kalitesi ve sayısı artırılmalıdır,neutral
Asla internetim çekmiyor Hicbir zaman da bunun cozumu saglanmadi o yuzden taahhüt bitince vodafone dan ayrilacagim,negative
Köy ve ilcelerde cekim gücünüz yetersiz ve internet cok kotu il icin soyleyecek sözüm yok ilce ve köy mahalle de cok zayif,negative
Çoğu yerde ve bölgede şebeke çekmiyor dahası kapalı alanlarda da çekmiyor böyle giderse turkcelle geçeceğim,negative
Harcama yaparak baz veya verici istasyonlarınızı verimli hale getirmenizi rica olunur,neutral
Daha çok Baz istasyonu kurulması gerekli,neutral
İçerik zenginliği bakımından vodafone 1 numara ama alt yapının güçle güçlendirilmesi ve internet hızının artırılması şart,positive
Bazı yerlerde mobil şebeke çekmiyor videolarda oynatma hızı çok düşüyor,negative
Hiç bir yerde çekmediği için internette dahil olmak üzere alt yapıyı düzeltmelisiniz,negative
şuan da bilecik ili yenipazar ilçesi yukarıboğaz köyündeyim fakat köyümüzde şebeke hiç çekmiyor köyün belli bölümlerine gidip birilerini arayabiliyoruz bunun için şebeke kapsamının genişletilmesini önemle arz ve rica ediyoruz,negative
Baz istasyonlarını cogaltmak gerek,neutral
Bin kere müşteri hizmetlerini aramama rağmen hiç bir şey değişmeyen hep aynı cevapları veren sorumsuz bir firmasınız taahhütüm bittiğinde Turkcell operatörüne geçiş yapacağım,negative
Baz istasyonlari kurun dogrubduzgun sehir merkezlerinde bile çekmiyor,negative
Şebeke çogu yerde çekmiyor interneti yavaş daha hızlı olabilir,negative
Konuşmaya başladıktan sonra hat kesiliyor ikinci kez arayıp konuşuyorsun bazen yine kesiliyor bunlar olmazsa sıkıntı yok,negative
Şebeke gücünün daha iyi olması hiç memnum degiliz vodafone kullanıcısı olarak,negative
Bence çarkı paket olmadan da çevirebilelim diğerlerinde çevirme hakkı var sizde yok lütfen bunu okuyun ve sizde birşeyler yapınnn,neutral
koyumuzde sebeke çekmiyor  Batman samanlı Beşiri samanlı köyü,negative
Taahutum bittiği anda başka bir operatöre gecegim Beni bu kadar pişman eden bir başka operatör olmadı,negative
Tavsiyem al yapısını güçlendirmesi baz istasyonunu çoğalması gerekmekte ev internetim de telefonum vodafone ve iş yerinde telefonumun interneti çekmiyor evde de ev internetinin bağlantıları kopuyor lütfen çözüm istiyorum,negative
Baz istasyonlarınızı cogaltmaninizi istiyorum biz bunu sadece büyükşehirlerde kullanmıyoruz otobanın kenarında köyümüz var internet ve şebeke denen bisey yok,negative
Kırsal kesimleri yeterince  önem vermenizi rica ediyorum özellikle konuşma da büyük sorun yaşaniliyor,negative
Videolarda sürekli donma oluyor Ama sanırım bulunduğumuz bölgeyle alakalı bilmiyorum Yinede memnunum,positive
Alt yapısının daha da geliştirilip köy vb Civarlara 4 5g kurulmasının temini olsa daha verimli bir hizmet olabilir,neutral
Olduğum bölgede vodafone çekmiyor Turkcelle geçeceğim,negative
Memnun değilim Bu operatörden ayrılmayı düşünüyorum,negative
İnternet çok yavaş ve kapalı alanlarda çekmiyor Vodaffona geçtiğim için pişmanım,negative
Sahada geliştirilmeli ve uygun fiyat verilmeli fatura fiyatları çok yüksek,negative
Video bile izleyemiyorum internet sürekli donuyor,negative
Baz istasyonları çoğaltılırsa daha iyi olur,neutral
Aramalar da mobil şebeke kullanımında berbat durumda hiç çekmiyor Videolar donarak izliyorum,negative
Video izlerken duraklamanın olmaması gerekiyor,neutral
Çorum Osmancık Kamil Köyünde çoğu yerde telefon çekmemektedir  Özellikle internet için şebeke ararken telefon çekim gücünü kaybediyor tel çoğu zaman kapalı gözüküyor ama açık İnternet ile hat çekimi arasında sürekli olarak bir düşme var ve bu sorunu bir çok kere arayıp söyledik ve mail olarak da bildirdik Kendim Çorum da ikamet ediyorum ama çoğunlukla köye gitiitğimde bu sorunu yaşıyorum ve ailemde köyde oturuyorlar çok madur kalıyorlar bu duruumdan dolayı eğer mümkünse tekrar Çorum Osmancık Kamil köyüne tekrar bakılmasını rica ederim teşekkür ederim ilginizden dolayı,neutral
İl merkezinde kapalı alanda şebeke problemi yaşıyorum açık alanda video izlerken çok donma oluyor Taahhütü olmasa farklı bir gsm şirketine geçeceğim,negative
Mevcut bulunduğum bölgeye baz istasyonu kurulması gerekli,neutral
Kesinlikle yatırım yapmalıdır alt yapı çalışması olmalıdır çekmeyen çok yer var ben bile bırakmayı düşünüyorum birde utanmadan çekmeyen internetin kampanyasını yapıyorlar uzay çağına girdik birde 5G diye bahsediyorlar bir fırın ekmek yemesi lazım,negative
Fiyatları biraz uygun hale getirin fiyatlar yüksek,negative
Kapsama alanının genişletilmesi gerekirse baz istasyonu sayısının çevreye doğaya insana en az zarar verici şekilde artırılmasını talep ediyorum,neutral
Hiç memnun değilim hiç çekmiyor o yuzden Turkcelle gecicem,negative
Videolarda 1080p izlerken donma olabilir ev içinde,negative
Internet cok donuyor sebeke çekmiyor bu yuzden turkcelle gecis yapacam,negative
Tarifeler zenginleştirilebilir Aniden tarife bitimlerinde farklı yollar oluşturulabilir,neutral
Altyapı düzenlemesi çünkü yağmur kar vs hemen çekmiyor,negative
Şu an yaşadığım bölgede şwbeke çekim sıkıntısı yaşıyoruz Internet hızımız çok düşük,negative
Şebekeniz çekmiyor Sistemden de kontrol edebilirsiniz bütün görüşmelerim yarıda kesiliyor Şebekenizi kullandığım için pişmanım Tahüttüm bittiği an başka operatöre geçiş yapacağım,negative
Çok kötü bir alt yapısı var hizmet çok kötü,negative
Çekim gücü hiç iyi değil sürekli kapalı sinyali veriyor,negative
Hiç bir yerde çekmiyor Turkcell den geçtim attan indim eşşeğe bindim sandım gerçekten vodafone tam bir skandal tahattüt bittiği dakika Turkcelle geri gececem,negative
Baz istasyonları biraz daha çoğaltılabilir,neutral
Internet paketleri cok pahali,negative
Faturalarım çok şişik tek şikayetçi bu diğer yönleri güzel özellikle sunulan ek paketler,negative
İnternet hızlı değil çekim sorunlarında mevcut baz istasyonları arttırılmalı,negative
Baz istasyonları güçlendirilmeli,neutral
Ankarada ikamet ediyorum ayrıca Turkcell hat kullanıyorum evim dahil çoğu yerde vodafone hattımı çekmediğinden dolayı sağlıklı kullanamıyorum Muhtemelen taahhüt süresi bittiğinde aynı şekil devam ederse hattımı kapattıracağım,neutral
valla o işlerden çok anlamam ama telefon direkleri çoğaltılabilir ve türk telekomdaki gibi daha ucuz fiyatlara daha çok infernet verebilirsiniz örneğin 30 liraya 15 gb 750 dk 1000 sms gibi daha dün arladaşım türk telekoma geçiş yaptı böyle giderse bende çıkacam vodafoneden teşekkür ederim,negative
Alt yapılarınızı genişletin hiç bir yerde telefon çekmiyor,negative
Şebeke sorunlu ayriyeten de tarifeler hepsi kazık uygun fiyata olan yok,negative
Altyapıyı daha da güçlendirmek gerektiğini düşünüyorum,neutral
Şebeke sorunu videolardaki donma düzeltilirse sevinirim,neutral
İnternette 4 5 g açık olsa bile videoları donarak izliyorum,negative
